species	specimen	bodylength	sex	bone	side	absolute_volume
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	pelvic	left	30432.89
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	pelvic	right	28132.84
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	rib	left	NA
BALAENOPTERA_ACUTOROSTRATA	MAL_03-282	730	F	rib	right	NA
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	pelvic	left	22984.55
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	pelvic	right	24027.72
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	rib	left	NA
BALAENOPTERA_ACUTOROSTRATA	MH_03-621	700	M	rib	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	pelvic	left	151699.64
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	pelvic	right	149735.82
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	rib	left	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.18	2350	F	rib	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	pelvic	left	155989.29
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	pelvic	right	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	rib	left	NA
BALAENOPTERA_MUSCULUS	BMNH_1953.12.1.19	2360	M	rib	right	NA
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	pelvic	left	42845.33
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	pelvic	right	43865.53
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	rib	left	NA
BALAENOPTERA_PHYSALUS	UMA_4820	2075	F	rib	right	NA
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	pelvic	left	5773.43
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	pelvic	right	5985.09
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	rib	left	13853.06
DELPHINUS_CAPENSIS	LACM_84071	209.0	M	rib	right	15255.60
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	pelvic	left	4598.03
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	pelvic	right	4589.29
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	rib	left	14727.23
DELPHINUS_CAPENSIS	LACM_84127	215.0	M	rib	right	15751.94
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	pelvic	left	6137.44
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	pelvic	right	7236.44
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	rib	left	22415.72
DELPHINUS_CAPENSIS	LACM_84163	226.0	M	rib	right	24072.49
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	pelvic	left	7430.58
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	pelvic	right	7414.40
DELPHINUS_CAPENSIS	LACM_84185	211.5	M	rib	left	15662.37
